metric_name,metric_value,scenario,n,salary,i
savings,102945.54197025867,iis,15,50000,4
roi,1.0103065200538888,iis,15,50000,4
irr,0.08393820291120146,iis,15,50000,4
twr,0.11002916946647945,iis,15,50000,4
pension,380.00325562004184,iis,15,50000,4
kz,0.09120078134881006,iis,15,50000,4
savings,61728.30135098738,iis,15,50000,5
roi,0.20542185997322795,iis,15,50000,5
irr,0.02321242090125364,iis,15,50000,5
twr,0.04219092278368208,iis,15,50000,5
pension,227.85790456129735,iis,15,50000,5
kz,0.05468589709471137,iis,15,50000,5
savings,89730.63920472535,iis,15,50000,6
roi,0.7522476990210674,iis,15,50000,6
irr,0.06795952040139053,iis,15,50000,6
twr,0.07107862246352736,iis,15,50000,6
pension,331.22303670530977,iis,15,50000,6
kz,0.07949352880927435,iis,15,50000,6
savings,183978.2562021427,iis,15,50000,7
roi,2.5927023250619636,iis,15,50000,7
irr,0.149643662675768,iis,15,50000,7
twr,0.1414256647705201,iis,15,50000,7
pension,679.119610058591,iis,15,50000,7
kz,0.16298870641406185,iis,15,50000,7
savings,150687.12908130788,iis,15,50000,8
roi,1.9425977296605228,iis,15,50000,8
irr,0.1273233896674577,iis,15,50000,8
twr,0.1196450975581349,iis,15,50000,8
pension,556.2319507480718,iis,15,50000,8
kz,0.13349566817953723,iis,15,50000,8
savings,48611.496727890684,iis,15,50000,9
roi,-0.050721313897305616,iis,15,50000,9
irr,-0.006592001342349274,iis,15,50000,9
twr,0.010118840492782999,iis,15,50000,9
pension,179.43979567855644,iis,15,50000,9
kz,0.04306555096285355,iis,15,50000,9
savings,164601.0444472168,iis,15,100000,0
roi,0.607153386765974,iis,15,100000,0
irr,0.05779391629306474,iis,15,100000,0
twr,0.05210976664673783,iis,15,100000,0
pension,607.5924374313577,iis,15,100000,0
kz,0.07291109249176293,iis,15,100000,0
savings,304882.6644330039,iis,15,100000,1
roi,1.9768535695219367,iis,15,100000,1
irr,0.12862403782104503,iis,15,100000,1
